0.00,9.00,18.00,12.00,22.00,16.00,14.00,18.00,17.00,18.00,16.00,19.00
9.00,0.00,17.00,21.00,13.00,15.00,11.00,17.00,22.00,17.00,13.00,18.00
18.00,17.00,0.00,10.00,16.00,14.00,14.00,14.00,11.00,8.00,16.00,9.00
12.00,21.00,10.00,0.00,24.00,12.00,16.00,18.00,11.00,8.00,16.00,13.00
22.00,13.00,16.00,24.00,0.00,20.00,14.00,16.00,21.00,18.00,16.00,17.00
16.00,15.00,14.00,12.00,20.00,0.00,20.00,14.00,13.00,10.00,12.00,9.00
14.00,11.00,14.00,16.00,14.00,20.00,0.00,18.00,19.00,18.00,10.00,19.00
18.00,17.00,14.00,18.00,16.00,14.00,18.00,0.00,11.00,18.00,14.00,19.00
17.00,22.00,11.00,11.00,21.00,13.00,19.00,11.00,0.00,15.00,13.00,12.00
18.00,17.00,8.00,8.00,18.00,10.00,18.00,18.00,15.00,0.00,14.00,7.00
16.00,13.00,16.00,16.00,16.00,12.00,10.00,14.00,13.00,14.00,0.00,15.00
19.00,18.00,9.00,13.00,17.00,9.00,19.00,19.00,12.00,7.00,15.00,0.00
