,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Q1,0,9,18,12,22,16,14,18,17,18,16,19
Q2,9,0,17,21,13,15,11,17,22,17,13,18
Q3,18,17,0,10,16,14,14,14,11,8,16,9
Q4,12,21,10,0,24,12,16,18,11,8,16,13
Q5,22,13,16,24,0,20,14,16,21,18,16,17
Q6,16,15,14,12,20,0,20,14,13,10,12,9
Q7,14,11,14,16,14,20,0,18,19,18,10,19
Q8,18,17,14,18,16,14,18,0,11,18,14,19
Q9,17,22,11,11,21,13,19,11,0,15,13,12
Q10,18,17,8,8,18,10,18,18,15,0,14,7
Q11,16,13,16,16,16,12,10,14,13,14,0,15
Q12,19,18,9,13,17,9,19,19,12,7,15,0
